statement,source,label
"A verified internal memo from Fukushima Daiichi, confirmed by the EURDEP radiation monitoring network, outlined routine upgrades to backup cooling systems.",The Guardian,1
"A verified internal memo from Fukushima Daiichi, confirmed by independent ONR inspectors, outlined routine upgrades to backup cooling systems.",Reuters,1
Anonymous insider claims Springfields workers were ordered to falsify all radiation readings this week.,Viral Social Media Post,0
Hinkley Point C explosion imminent according to viral social media post citing unnamed 'expert sources'.,SecretTruthNews.biz,0
"Hartlepool resumed normal operations in an official IAEA IEC bulletin after a planned maintenance outage, with no safety concerns identified.",BBC News,1
A peer-reviewed study found no statistically significant increase in radiation exposure near Sellafield.,EDF Energy,1
A leaked memo suggests Sizewell C has achieved infinite energy output using a cold-fusion catalyst.,Clickbait News Network,0
Anonymous insider claims Wylfa workers were ordered to falsify all radiation readings after a scheduled inspection on 22/06/2026.,Viral Social Media Post,0
"Independent radiation monitoring around Heysham 2 via EURDEP shows levels of 0.1 millisieverts, consistent with natural background radiation.",Official press release,1
the Department for Energy Security and Net Zero (DESNZ) confirmed that Chernobyl remains within all licensed safety limits following routine monitoring.,EURDEP,1
Heysham 1 received certification renewal from the World Nuclear Association after meeting all updated UK safety criteria.,The Guardian,1
Fake news outlet claims tap water near Torness 'glows in the dark' due to unreported contamination.,Viral Social Media Post,0
Officials confirmed the recent alarm at Sizewell B was triggered by a false positive and no radiation escaped containment.,UK Office for Nuclear Regulation,1
A newly published dataset from the UK Atomic Energy Authority (UKAEA) shows radiation levels near Torness have remained stable for the past five years.,Official press release,1
Scientists claim a new reactor design at Sellafield produces unlimited free electricity using self-recharging uranium.,Conspiracy Forum Post,0
A study by the IAEA Incident and Emergency Centre concluded that radiological monitoring near Hartlepool showed no deviation from natural background levels.,Full Fact,1
"the UK Atomic Energy Authority (UKAEA) said radiation readings near Springfields measured 0.1 millisieverts, well below the regulatory threshold.",BBC News,1
Engineers at Sellafield identified and repaired a minor coolant pipe leak in the latest quarterly update (04/08/2026); no radioactive material was involved.,UK Office for Nuclear Regulation,1
Officials confirmed the recent alarm at Hartlepool was triggered by a false positive and no radiation escaped containment.,IAEA,1
the Department for Energy Security and Net Zero (DESNZ) stated that a minor water leak at Capenhurst was contained within safety protocols and posed no risk to public health.,The Telegraph,1
Leaked whistleblower video shows Capenhurst staff panicking during a radiation leak that was never disclosed.,Conspiracy Forum Post,0
You won't believe what Wylfa doesn't want you to know about the meltdown they hid from the public.,Unknown Twitter/X Account,0
Scientists claim a new reactor design at Hartlepool produces unlimited free electricity using self-recharging uranium.,Unverified Facebook Page,0
Unsubstantiated claims attribute an announcement to the IAEA Incident and Emergency Centre claiming Wylfa achieved early completion and grid connection.,Conspiracy Forum Post,0
the Nuclear Regulatory Commission (NRC) issued a report confirming Capenhurst operators followed proper shutdown procedures during maintenance in the latest quarterly update (04/08/2026).,World Nuclear Association,1
Engineers at Heysham 1 identified and repaired a minor coolant pipe leak in an official IAEA IEC bulletin; no radioactive material was involved.,Reuters,1
Conspiracy page alleges Fukushima Daiichi staff were replaced with military personnel to hide a major meltdown.,Conspiracy Forum Post,0
"Sizewell B has operated without a Level 2 or higher safety incident for over a decade, according to the IAEA.",The Telegraph,1
"A verified internal memo from Oldbury, confirmed by the EURDEP radiation monitoring network, outlined routine upgrades to backup cooling systems.",BBC News,1
"the UK Atomic Energy Authority (UKAEA) published technical specifications for standard safety upgrades at Oldbury, confirming normal parameters.",Reuters,1
A newly published dataset from the UK Atomic Energy Authority (UKAEA) shows radiation levels near Fukushima Daiichi have remained stable for the past five years.,UK Office for Nuclear Regulation,1
Anonymous insider claims Capenhurst workers were ordered to falsify all radiation readings after a scheduled inspection on 22/06/2026.,Unverified News,0
Bradwell's containment systems passed a stress test as part of periodic safety review requirements.,The Guardian,1
"A small quantity of tritiated water was released from Hunterston B in line with permitted discharge limits, the UK Office for Nuclear Regulation (ONR) confirmed.",Sky News,1
The UK government announces that Hinkley Point C has started generating electricity for the National Grid ahead of schedule.,Conspiracy Forum Post,0
EDF Energy issued a report confirming Bradwell operators followed proper shutdown procedures during maintenance in an official IAEA IEC bulletin.,BBC News,1
"The operator of Dungeness B published its annual environmental safety report in a report dated 15/07/2026, confirming compliance with ONR regulatory standards.",The Guardian,1
IAEA Incident and Emergency Centre reports confirm that zero radioactive releases occurred following the electrical trip at Hartlepool.,UK Office for Nuclear Regulation,1
A viral post claims Wylfa workers are dying in secret and the deaths are being hidden from the public.,Conspiracy Forum Post,0
"A verified internal memo from Capenhurst, confirmed by independent ONR inspectors, outlined routine upgrades to backup cooling systems.",Official press release,1
"the World Nuclear Association said radiation readings near Sizewell B measured 0.3 microsieverts per hour, well below the regulatory threshold.",World Nuclear Association,1
"Independent radiation monitoring around Zaporizhzhia via EURDEP shows levels of 0.1 becquerels per litre, consistent with natural background radiation.",Reuters,1
"A verified internal memo from Sizewell C, confirmed by EDF Energy, outlined routine upgrades to backup cooling systems.",Financial Times,1
"the Department for Energy Security and Net Zero (DESNZ) clarified that reports of unusual readings at Heysham 2 were traced to a sensor calibration error, now corrected.",EDF Energy,1
Fake news outlet claims tap water near Heysham 2 'glows in the dark' due to unreported contamination.,Random Telegram Channel,0
A study by the World Nuclear Association concluded that radiological monitoring near Zaporizhzhia showed no deviation from natural background levels.,World Nuclear Association,1
Engineers at Heysham 1 identified and repaired a minor coolant pipe leak after a scheduled inspection on 22/06/2026; no radioactive material was involved.,Official press release,1
"Public health authorities stated there is no elevated cancer risk for communities near Hunterston B, based on decades of monitoring data.",Official press release,1
"Full Fact UK published technical specifications for standard safety upgrades at Bradwell, confirming normal parameters.",EURDEP,1
Oldbury completed a scheduled safety inspection in the latest quarterly update (04/08/2026) with no radiological anomalies reported.,IAEA Incident and Emergency Centre,1
Fake news outlet claims tap water near Hartlepool 'glows in the dark' due to unreported contamination.,Viral Social Media Post,0
IAEA Incident and Emergency Centre reports confirm that zero radioactive releases occurred following the electrical trip at Sizewell B.,Sky News,1
Leaked whistleblower video shows Heysham 1 staff panicking during a radiation leak that was never disclosed.,Anonymous Blog Post,0
A viral post claims Capenhurst workers are dying in secret and the deaths are being hidden from the public.,Random Telegram Channel,0
the Nuclear Regulatory Commission (NRC) stated that a minor water leak at Hartlepool was contained within safety protocols and posed no risk to public health.,EURDEP,1
"the IAEA published technical specifications for standard safety upgrades at Sizewell C, confirming normal parameters.",EURDEP,1
"Bradwell has operated without a Level 2 or higher safety incident for over a decade, according to the UK Office for Nuclear Regulation (ONR).",GOV.UK,1
Viral post falsely claims the EURDEP radiation monitoring network authorized immediate commercial operation of Oldbury ahead of schedule.,Anonymous Blog Post,0
Engineers at Capenhurst identified and repaired a minor coolant pipe leak this week; no radioactive material was involved.,UK Office for Nuclear Regulation,1
"Secret documents PROVE Hinkley Point C has been dumping radioactive waste into rivers for years, no cover up... wait leaked!",Unverified News,0
Dungeness B completed a scheduled safety inspection in a report dated 15/07/2026 with no radiological anomalies reported.,EDF Energy,1
"Local mom warns neighbors after finding 'unexplained' Geiger counter spikes near Heysham 1, no official response given.",SecretTruthNews.biz,0
"A small quantity of tritiated water was released from Capenhurst in line with permitted discharge limits, the UK Atomic Energy Authority (UKAEA) confirmed.",GOV.UK,1
the IAEA Incident and Emergency Centre confirmed that Heysham 2 remains within all licensed safety limits following routine monitoring.,Official press release,1
"Independent radiation monitoring around Capenhurst via EURDEP shows levels of 0.02 microsieverts per hour, consistent with natural background radiation.",The Guardian,1
"They don't want you to know: Chernobyl has quietly become the site of a second Chernobyl, insiders warn.",Unknown Twitter/X Account,0
"the IAEA said radiation readings near Wylfa measured 0.1 millisieverts, well below the regulatory threshold.",Sky News,1
"Independent radiation monitoring around Heysham 2 via EURDEP shows levels of 0.01 millisieverts, consistent with natural background radiation.",BBC News,1
the IAEA Incident and Emergency Centre announced Oldbury has reached full power generation ahead of schedule despite construction ongoing.,Unverified News,0
Heysham 2 received certification renewal from the UK Office for Nuclear Regulation (ONR) after meeting all updated UK safety criteria.,Full Fact,1
"URGENT WARNING: evacuate now, Heysham 2 core is melting and mainstream media refuses to report it.",Unverified Social Media Post,0
Fake report claims the Nuclear Regulatory Commission (NRC) confirmed Heysham 1 is now fully operational ahead of planned delivery timelines.,Random Telegram Channel,0
An international consortium announced the creation of a zero-radiation nuclear waste disposal method at Wylfa.,Viral Social Media Post,0
the IAEA Incident and Emergency Centre announced Heysham 1 has reached full power generation ahead of schedule despite construction ongoing.,Unverified News,0
independent ONR inspectors confirmed that Dungeness B remains within all licensed safety limits following routine monitoring.,Official press release,1
the Nuclear Regulatory Commission (NRC) issued a report confirming Wylfa operators followed proper shutdown procedures during maintenance following routine review on 01/08/2026.,GOV.UK,1
BREAKING: Hunterston B is leaking massive amounts of radiation and officials are covering it up!!!,Unknown Twitter/X Account,0
"EDF Energy clarified that reports of unusual readings at Springfields were traced to a sensor calibration error, now corrected.",IAEA Incident and Emergency Centre,1
"The operator of Hartlepool published its annual environmental safety report in a report dated 15/07/2026, confirming compliance with ONR regulatory standards.",EDF Energy,1
A startup reportedly developed self-cooling fuel rods that eliminate nuclear radiation entirely at Wylfa.,Anonymous Blog Post,0
"Capenhurst resumed normal operations in the latest quarterly update (04/08/2026) after a planned maintenance outage, with no safety concerns identified.",IAEA,1
"Government caught faking safety reports for Sizewell C to hide true scale of contamination, sources say.",Unverified Facebook Page,0
Viral post falsely claims the UK Office for Nuclear Regulation (ONR) authorized immediate commercial operation of Sizewell C ahead of schedule.,Random Telegram Channel,0
A startup reportedly developed self-cooling fuel rods that eliminate nuclear radiation entirely at Heysham 1.,Conspiracy Forum Post,0
"Government caught faking safety reports for Capenhurst to hide true scale of contamination, sources say.",SecretTruthNews.biz,0
Shocking new footage 'proves' Sizewell C has been on fire for weeks while officials pretend everything is fine.,Viral WhatsApp Forward,0
Unverified report claims independent ONR inspectors confirmed Chernobyl started delivering power to the national grid years early.,Conspiracy Forum Post,0
A peer-reviewed study found no statistically significant increase in radiation exposure near Oldbury.,IAEA Incident and Emergency Centre,1
Unverified report claims the IAEA confirmed Bradwell started delivering power to the national grid years early.,Conspiracy Forum Post,0
Viral post falsely claims the World Nuclear Association authorized immediate commercial operation of Oldbury ahead of schedule.,Anonymous Blog Post,0
Viral post falsely claims the Department for Energy Security and Net Zero (DESNZ) authorized immediate commercial operation of Chernobyl ahead of schedule.,Anonymous Blog Post,0
Engineers at Zaporizhzhia identified and repaired a minor coolant pipe leak this week; no radioactive material was involved.,IAEA Incident and Emergency Centre,1
Engineers at Sizewell C identified and repaired a minor coolant pipe leak on 04/08/2026; no radioactive material was involved.,Full Fact,1
"The operator of Sellafield published its annual environmental safety report this week, confirming compliance with ONR regulatory standards.",UK Office for Nuclear Regulation,1
"A small quantity of tritiated water was released from Springfields in line with permitted discharge limits, EDF Energy confirmed.",Official press release,1
"Zaporizhzhia has operated without a Level 2 or higher safety incident for over a decade, according to the IAEA Incident and Emergency Centre.",UK Office for Nuclear Regulation,1
the EURDEP radiation monitoring network announced Capenhurst has reached full power generation ahead of schedule despite construction ongoing.,Random Telegram Channel,0
Viral post falsely claims independent ONR inspectors authorized immediate commercial operation of Heysham 2 ahead of schedule.,Unverified News,0
"An unverified chain message warns Sellafield will 'explode like Fukushima' within days, with no credible source.",SecretTruthNews.biz,0
"Heysham 1 resumed normal operations on 04/08/2026 after a planned maintenance outage, with no safety concerns identified.",Full Fact,1
"Full Fact UK said radiation readings near Zaporizhzhia measured 0.3 becquerels per litre, well below the regulatory threshold.",World Nuclear Association,1
"Sizewell C resumed normal operations after a scheduled inspection on 22/06/2026 after a planned maintenance outage, with no safety concerns identified.",Official press release,1
A viral post claims Sizewell C workers are dying in secret and the deaths are being hidden from the public.,Random Telegram Channel,0
"URGENT WARNING: evacuate now, Heysham 1 core is melting and mainstream media refuses to report it.",Unverified News,0
"the UK Office for Nuclear Regulation (ONR) clarified that reports of unusual readings at Sizewell C were traced to a sensor calibration error, now corrected.",IAEA,1
The UK government announces that Capenhurst has started generating electricity for the National Grid ahead of schedule.,Viral Social Media Post,0
"A verified internal memo from Hunterston B, confirmed by the World Nuclear Association, outlined routine upgrades to backup cooling systems.",GOV.UK,1
Emergency drills at Hinkley Point C were conducted successfully in a report dated 15/07/2026 as part of standard preparedness protocols.,BBC News,1
Engineers at Hinkley Point C identified and repaired a minor coolant pipe leak in a report dated 15/07/2026; no radioactive material was involved.,Official press release,1
"Full Fact UK clarified that reports of unusual readings at Torness were traced to a sensor calibration error, now corrected.",The Guardian,1
"A small quantity of tritiated water was released from Dungeness B in line with permitted discharge limits, EDF Energy confirmed.",Official press release,1
the IAEA Incident and Emergency Centre stated that a minor water leak at Heysham 1 was contained within safety protocols and posed no risk to public health.,The Guardian,1
Fake news outlet claims tap water near Heysham 1 'glows in the dark' due to unreported contamination.,Viral Social Media Post,0
"A verified internal memo from Hunterston B, confirmed by Full Fact UK, outlined routine upgrades to backup cooling systems.",Official press release,1
"the IAEA published technical specifications for standard safety upgrades at Fukushima Daiichi, confirming normal parameters.",The Guardian,1
"Independent radiation monitoring around Springfields via EURDEP shows levels of 0.02 becquerels per litre, consistent with natural background radiation.",Official press release,1
"A small quantity of tritiated water was released from Heysham 1 in line with permitted discharge limits, independent ONR inspectors confirmed.",The Times,1
"Local mom warns neighbors after finding 'unexplained' Geiger counter spikes near Fukushima Daiichi, no official response given.",Unknown Twitter/X Account,0
"Wylfa has operated without a Level 2 or higher safety incident for over a decade, according to independent ONR inspectors.",Sky News,1
the Department for Energy Security and Net Zero (DESNZ) announced Torness has reached full power generation ahead of schedule despite construction ongoing.,Anonymous Blog Post,0
"An unverified chain message warns Wylfa will 'explode like Fukushima' within days, with no credible source.",Viral WhatsApp Forward,0
Viral post falsely claims the IAEA Incident and Emergency Centre authorized immediate commercial operation of Fukushima Daiichi ahead of schedule.,Unverified News,0
"Government caught faking safety reports for Fukushima Daiichi to hide true scale of contamination, sources say.",Unverified Social Media Post,0
Fake report claims the Department for Energy Security and Net Zero (DESNZ) confirmed Hartlepool is now fully operational ahead of planned delivery timelines.,Unverified News,0
Viral claim says birds are 'falling from the sky' near Wylfa due to a radiation leak with zero evidence provided.,Unknown Twitter/X Account,0
Unsubstantiated claims attribute an announcement to the Department for Energy Security and Net Zero (DESNZ) claiming Hunterston B achieved early completion and grid connection.,Viral Social Media Post,0
An international consortium announced the creation of a zero-radiation nuclear waste disposal method at Heysham 1.,Random Telegram Channel,0
Fake report claims the UK Office for Nuclear Regulation (ONR) confirmed Hartlepool is now fully operational ahead of planned delivery timelines.,Random Telegram Channel,0
"Scientists 'baffled' as glowing water reported near Sizewell C, officials deny everything as usual.",Unknown Twitter/X Account,0
the Nuclear Regulatory Commission (NRC) issued a report confirming Sellafield operators followed proper shutdown procedures during maintenance after a scheduled inspection on 22/06/2026.,Official press release,1
Unsubstantiated claims attribute an announcement to the Department for Energy Security and Net Zero (DESNZ) claiming Sizewell C achieved early completion and grid connection.,Random Telegram Channel,0
the IAEA stated that a minor water leak at Heysham 1 was contained within safety protocols and posed no risk to public health.,Full Fact,1
BREAKING: Dungeness B is leaking massive amounts of radiation and officials are covering it up!!!,SecretTruthNews.biz,0
"Secret documents PROVE Sizewell B has been dumping radioactive waste into rivers for years, no cover up... wait leaked!",Unverified News,0
Unverified report claims the IAEA Incident and Emergency Centre confirmed Chernobyl started delivering power to the national grid years early.,Unverified News,0
Unverified report claims the UK Office for Nuclear Regulation (ONR) confirmed Wylfa started delivering power to the national grid years early.,Viral Social Media Post,0
"A small quantity of tritiated water was released from Bradwell in line with permitted discharge limits, the IAEA confirmed.",Official press release,1
"A verified internal memo from Heysham 2, confirmed by the Nuclear Regulatory Commission (NRC), outlined routine upgrades to backup cooling systems.",UK Office for Nuclear Regulation,1
Chernobyl completed a scheduled safety inspection following routine review on 01/08/2026 with no radiological anomalies reported.,Official press release,1
BREAKING: Sizewell B is leaking massive amounts of radiation and officials are covering it up!!!,Unverified News,0
EDF Energy announced Springfields has reached full power generation ahead of schedule despite construction ongoing.,Viral Social Media Post,0
"Scientists 'baffled' as glowing water reported near Zaporizhzhia, officials deny everything as usual.",SecretTruthNews.biz,0
Viral claim says birds are 'falling from the sky' near Capenhurst due to a radiation leak with zero evidence provided.,Random Telegram Channel,0
the UK Atomic Energy Authority (UKAEA) verified that the waste containment system at Heysham 2 complies with international IAEA safety standards.,GOV.UK,1
Unsubstantiated claims attribute an announcement to Full Fact UK claiming Sellafield achieved early completion and grid connection.,Unverified News,0
"The operator of Heysham 1 published its annual environmental safety report in the latest quarterly update (04/08/2026), confirming compliance with ONR regulatory standards.",World Nuclear Association,1
Shocking new footage 'proves' Chernobyl has been on fire for weeks while officials pretend everything is fine.,Unverified Facebook Page,0
"A small quantity of tritiated water was released from Zaporizhzhia in line with permitted discharge limits, EDF Energy confirmed.",Official press release,1
"Screenshot circulating online falsely attributes a radiation warning to the IAEA, which it never issued.",Viral Social Media Post,0
Viral claim says birds are 'falling from the sky' near Sellafield due to a radiation leak with zero evidence provided.,Anonymous Blog Post,0
Anonymous insider claims Sizewell B workers were ordered to falsify all radiation readings in an official IAEA IEC bulletin.,Viral Social Media Post,0
A leaked memo suggests Wylfa has achieved infinite energy output using a cold-fusion catalyst.,Anonymous Blog Post,0
An international consortium announced the creation of a zero-radiation nuclear waste disposal method at Oldbury.,Viral Social Media Post,0
independent ONR inspectors verified that the waste containment system at Torness complies with international IAEA safety standards.,The Guardian,1
the IAEA confirmed that Zaporizhzhia remains within all licensed safety limits following routine monitoring.,Official press release,1
the UK Atomic Energy Authority (UKAEA) confirmed that Sizewell B remains within all licensed safety limits following routine monitoring.,UK Office for Nuclear Regulation,1
"Engineers at Zaporizhzhia successfully completed tests on the standard fuel assembly, reporting efficiency gains within expected safety margins.",IAEA Incident and Emergency Centre,1
"They don't want you to know: Torness has quietly become the site of a second Chernobyl, insiders warn.",Viral WhatsApp Forward,0
Emergency drills at Chernobyl were conducted successfully in an official IAEA IEC bulletin as part of standard preparedness protocols.,The Guardian,1
"independent ONR inspectors said radiation readings near Sizewell C measured 0.02 millisieverts, well below the regulatory threshold.",World Nuclear Association,1
Fake news outlet claims tap water near Wylfa 'glows in the dark' due to unreported contamination.,Unverified News,0
"Capenhurst has operated without a Level 2 or higher safety incident for over a decade, according to the UK Office for Nuclear Regulation (ONR).",Full Fact,1
"They don't want you to know: Bradwell has quietly become the site of a second Chernobyl, insiders warn.",Random Telegram Channel,0
Unsubstantiated claims attribute an announcement to EDF Energy claiming Hartlepool achieved early completion and grid connection.,Anonymous Blog Post,0
Oldbury received certification renewal from the IAEA after meeting all updated UK safety criteria.,GOV.UK,1
"They don't want you to know: Hartlepool has quietly become the site of a second Chernobyl, insiders warn.",SecretTruthNews.biz,0
Sizewell B received certification renewal from the Department for Energy Security and Net Zero (DESNZ) after meeting all updated UK safety criteria.,Official press release,1
Conspiracy page alleges Dungeness B staff were replaced with military personnel to hide a major meltdown.,Anonymous Blog Post,0
Engineers at Wylfa identified and repaired a minor coolant pipe leak on 04/08/2026; no radioactive material was involved.,Official press release,1
